Country,Continent,Rank,Title,Artists,Album,Explicit,Duration
Global,Global,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Argentina,South America,1,Colocao,Nicki Nicole,Colocao,1,2:59
Australia,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Austria,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29
Belgium,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20
Bolivia,South America,1,Rojo,J Balvin,Colores,0,2:30
Brazil,South America,1,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,O Embaixador in Cariri (Ao Vivo),0,3:57
Bulgaria,Europe,1,GOOBA,6ix9ine,GOOBA,1,2:12
Canada,North America,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Chile,South America,1,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE (Remix),1,3:47
Colombia,South America,1,Rojo,J Balvin,Colores,0,2:30
Costa Rica,North America,1,Rojo,J Balvin,Colores,0,2:30
Czech Republic,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20
Denmark,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Dominican Republic,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
Ecuador,South America,1,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
El Salvador,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
Estonia,Europe,1,Croissantid,Nublu,Croissantid,0,2:36
Finland,Europe,1,Tässäkö tää oli? (feat. Leavings-Orkesteri),"Arttu Wiskari, Leavings-Orkesteri",Tässäkö tää oli? (feat. Leavings-Orkesteri),0,3:42
France,Europe,1,Angela,Hatik,Chaise pliante,1,3:56
Germany,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29
Greece,Europe,1,Millionaire,Snik,TOPBOY,1,2:35
Guatemala,North America,1,Rojo,J Balvin,Colores,0,2:30
Honduras,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
Hong Kong,Asia,1,Flossin',Big Loso,Flossin',1,1:59
Hungary,Europe,1,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Iceland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
India,Asia,1,Shayad,"Pritam, Arijit Singh",Love Aaj Kal (Original Motion Picture Soundtrack),0,4:07
Indonesia,Asia,1,LATHI (ꦭꦛꦶ),"Weird Genius, Sara Fajira",LATHI (ꦭꦛꦶ),0,3:08
Ireland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Israel,Asia,1,Blinding Lights,The Weeknd,After Hours,0,3:20
Italy,Europe,1,Good Times,Ghali,DNA,0,2:43
Japan,Asia,1,夜に駆ける,YOASOBI,夜に駆ける,0,4:21
Latvia,Europe,1,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
Lithuania,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20
Luxembourg,Europe,1,No Time To Die,Billie Eilish,No Time To Die,0,4:02
Malaysia,Asia,1,Suasana Di Hari Raya,Anuar & Ellina,Suasana Di Hari Raya,0,3:15
Malta,Europe,1,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,0,4:01
Mexico,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
Netherlands,Europe,1,Gordelweg,Kevin,Gordelweg,1,2:35
New Zealand,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Nicaragua,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
Norway,Europe,1,Svag,Victor Leksell,Svag,0,3:11
Panama,North America,1,Relación,Sech,1 of 1,0,3:04
Paraguay,South America,1,Rojo,J Balvin,Colores,0,2:30
Peru,South America,1,Favorito,Camilo,Por Primera Vez,0,3:29
Philippines,Asia,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Poland,Europe,1,BUBBLETEA,"Quebonafide, Daria Zawiałow",ROMANTIC PSYCHO,0,4:44
Portugal,Europe,1,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
Romania,Europe,1,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
Singapore,Asia,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Slovakia,Europe,1,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
South Africa,Africa,1,Blinding Lights,The Weeknd,After Hours,0,3:20
Spain,Europe,1,PAM,"Justin Quiles, Daddy Yankee, El Alfa",PAM,1,3:21
Sweden,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20
Switzerland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Taiwan,Asia,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
Thailand,Asia,1,คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,คิด(แต่ไม่)ถึง (Same Page?),0,4:26
Turkey,Europe,1,Spacejump,BEGE,Spacejump,0,1:58
United Kingdom,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
United States,North America,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
Uruguay,South America,1,Favorito,Camilo,Por Primera Vez,0,3:29
Vietnam,Asia,1,em bỏ hút thuốc chưa?,"Bich Phuong, traitimtrongvang",tâm trạng tan hơi chậm một chút,0,3:36
